,close,high,low
2025-12-04 16:00:00,0.999713,0.999852,0.999656
2025-12-04 20:00:00,1.0,1.001,0.999657
2025-12-05 00:00:00,0.999823,0.999823,0.99867
2025-12-05 04:00:00,0.999791,0.999832,0.999707
2025-12-05 08:00:00,0.999728,0.999789,0.999697
2025-12-05 12:00:00,0.99975,0.999799,0.999638
2025-12-05 16:00:00,0.999923,1.0,0.997497
2025-12-05 20:00:00,0.999634,1.0,0.993802
2025-12-06 00:00:00,0.999963,1.0,0.999014
2025-12-06 04:00:00,0.998471,1.0,0.998471
2025-12-06 08:00:00,0.99744,0.998351,0.996706
2025-12-06 12:00:00,0.998585,1.0,0.995468
2025-12-06 16:00:00,0.999285,1.0,0.998
2025-12-06 20:00:00,0.999736,1.0,0.998857
2025-12-07 00:00:00,0.999814,0.999962,0.999605
2025-12-07 04:00:00,0.999788,0.999942,0.999679
2025-12-07 08:00:00,0.9996,0.99996,0.9996
2025-12-07 12:00:00,0.999709,0.999709,0.999483
2025-12-07 16:00:00,0.999582,0.999714,0.999479
2025-12-07 20:00:00,0.999625,0.999671,0.999483
2025-12-08 00:00:00,0.99962,0.999707,0.99945
2025-12-08 04:00:00,0.99956,0.999713,0.999509
2025-12-08 08:00:00,0.999756,0.999958,0.999543
2025-12-08 12:00:00,0.999791,0.999858,0.999663
2025-12-08 16:00:00,0.999778,0.999876,0.999674
2025-12-08 20:00:00,1.0,1.0,0.999742
2025-12-09 00:00:00,0.999723,1.0,0.999181
2025-12-09 04:00:00,0.999759,0.999867,0.999681
2025-12-09 08:00:00,0.999656,0.999838,0.999656
2025-12-09 12:00:00,0.999853,0.999951,0.999655
2025-12-09 16:00:00,0.999741,1.0,0.99972
2025-12-09 20:00:00,0.999919,0.99992,0.999745
2025-12-10 00:00:00,0.999831,0.999934,0.999699
2025-12-10 04:00:00,0.999837,0.999928,0.999815
2025-12-10 08:00:00,0.999925,0.999942,0.999746
2025-12-10 12:00:00,1.001,1.001,0.999819
2025-12-10 16:00:00,0.999826,1.002,0.99933
2025-12-10 20:00:00,0.999844,0.999924,0.999781
2025-12-11 00:00:00,0.99976,0.999922,0.99966
2025-12-11 04:00:00,0.999307,0.999893,0.999307
2025-12-11 08:00:00,0.999746,0.999876,0.999223
2025-12-11 12:00:00,0.999694,0.999797,0.999631
2025-12-11 16:00:00,0.999783,0.999855,0.999648
2025-12-11 20:00:00,0.99976,0.999837,0.999619
2025-12-12 00:00:00,0.999721,0.999798,0.999683
2025-12-12 04:00:00,0.99967,0.999803,0.998426
2025-12-12 08:00:00,0.999775,0.999777,0.999644
2025-12-12 12:00:00,0.999684,0.999834,0.999681
2025-12-12 16:00:00,0.999652,0.999791,0.999542
2025-12-12 20:00:00,0.999719,0.99981,0.999571
2025-12-13 00:00:00,0.999852,0.999852,0.999713
2025-12-13 04:00:00,0.999741,0.999852,0.999638
2025-12-13 08:00:00,0.999768,0.999768,0.999637
2025-12-13 12:00:00,0.999666,0.999785,0.999652
2025-12-13 16:00:00,0.999567,0.999798,0.999567
2025-12-13 20:00:00,0.999434,1.0,0.997509
2025-12-14 00:00:00,0.999683,0.99986,0.997542
2025-12-14 04:00:00,0.999777,0.999861,0.999628
2025-12-14 08:00:00,0.999803,0.999869,0.999298
2025-12-14 12:00:00,0.999689,0.999896,0.999627
2025-12-14 16:00:00,0.999717,0.99993,0.999522
2025-12-14 20:00:00,0.999782,1.0,0.999258
2025-12-15 00:00:00,0.999741,0.99982,0.999434
2025-12-15 04:00:00,0.999799,0.999871,0.999735
2025-12-15 08:00:00,0.999821,0.999866,0.999687
2025-12-15 12:00:00,0.999775,0.999938,0.999692
2025-12-15 16:00:00,0.999777,0.99996,0.999611
2025-12-15 20:00:00,0.999855,0.999871,0.999311
2025-12-16 00:00:00,0.99975,1.0,0.997763
2025-12-16 04:00:00,0.999578,1.0,0.998936
2025-12-16 08:00:00,0.99974,1.001,0.999437
2025-12-16 12:00:00,0.999859,1.001,0.999169
2025-12-16 16:00:00,0.999873,1.001,0.999337
2025-12-16 20:00:00,0.999807,0.999884,0.999707
