,close,high,low
2025-12-16 08:00:00,0.999789,0.999789,0.997385
2025-12-16 12:00:00,0.99956,1.007,0.999548
2025-12-16 16:00:00,0.999708,1.003,0.996167
2025-12-16 20:00:00,0.999723,0.999758,0.999602
2025-12-17 00:00:00,0.999598,0.999754,0.999535
2025-12-17 04:00:00,0.999666,0.999819,0.999565
2025-12-17 08:00:00,0.999041,1.0,0.999041
2025-12-17 12:00:00,0.999413,0.999993,0.99941
2025-12-17 16:00:00,0.999666,0.999666,0.997408
2025-12-17 20:00:00,0.999509,1.002,0.999432
2025-12-18 00:00:00,0.999522,0.999644,0.999492
2025-12-18 04:00:00,0.999342,0.999547,0.997659
2025-12-18 08:00:00,0.999299,0.999545,0.999299
2025-12-18 12:00:00,0.99939,0.999439,0.999231
2025-12-18 16:00:00,0.999492,0.999611,0.999292
2025-12-18 20:00:00,0.999391,0.999519,0.999319
2025-12-19 00:00:00,0.999478,1.001,0.999294
2025-12-19 04:00:00,0.999239,0.99948,0.99659
2025-12-19 08:00:00,0.999046,1.002,0.997576
2025-12-19 12:00:00,0.999452,1.005,0.999038
2025-12-19 16:00:00,0.999416,0.999488,0.999345
2025-12-19 20:00:00,0.999466,1.001,0.996164
2025-12-20 00:00:00,0.999319,0.999581,0.998945
2025-12-20 04:00:00,0.999423,1.0,0.996654
2025-12-20 08:00:00,0.999483,0.999505,0.997381
2025-12-20 12:00:00,0.999325,0.999554,0.999325
2025-12-20 16:00:00,0.999425,0.999537,0.997278
2025-12-20 20:00:00,0.99956,0.99957,0.99709
2025-12-21 00:00:00,0.999461,0.999631,0.999461
2025-12-21 04:00:00,0.999614,0.999632,0.999455
2025-12-21 08:00:00,0.99953,0.999879,0.999374
2025-12-21 12:00:00,0.999549,0.999549,0.998167
2025-12-21 16:00:00,0.999423,0.999749,0.999423
2025-12-21 20:00:00,0.999677,0.999691,0.999448
2025-12-22 00:00:00,0.999498,0.999721,0.998951
2025-12-22 04:00:00,0.999383,1.001,0.999383
2025-12-22 08:00:00,0.999323,0.999542,0.996493
2025-12-22 12:00:00,0.999394,0.999577,0.998619
2025-12-22 16:00:00,0.999437,0.999573,0.996756
2025-12-22 20:00:00,0.999554,1.001,0.998094
2025-12-23 00:00:00,0.99915,0.999572,0.999096
2025-12-23 04:00:00,0.999189,0.99937,0.99918
2025-12-23 08:00:00,0.999231,0.999248,0.998997
2025-12-23 12:00:00,0.999457,0.999457,0.999107
2025-12-23 16:00:00,0.999335,0.999547,0.997616
2025-12-23 20:00:00,0.999387,0.99951,0.999313
2025-12-24 00:00:00,0.999325,0.99941,0.999216
2025-12-24 04:00:00,0.999277,0.999398,0.998044
2025-12-24 08:00:00,0.999085,0.999332,0.997271
2025-12-24 12:00:00,0.999421,0.999421,0.99898
2025-12-24 16:00:00,0.999224,0.999479,0.999224
2025-12-24 20:00:00,0.999173,0.999285,0.999053
2025-12-25 00:00:00,0.99922,0.999325,0.999063
2025-12-25 04:00:00,0.999161,0.999342,0.999105
2025-12-25 08:00:00,0.999181,0.999578,0.999148
2025-12-25 12:00:00,0.999221,0.999373,0.994776
2025-12-25 16:00:00,0.999297,0.999467,0.998869
2025-12-25 20:00:00,0.999149,0.99931,0.999074
2025-12-26 00:00:00,0.999238,0.999413,0.999139
2025-12-26 04:00:00,0.999056,1.0,0.999045
2025-12-26 08:00:00,0.999125,0.999125,0.998958
2025-12-26 12:00:00,0.999216,0.999384,0.999056
2025-12-26 16:00:00,0.999177,1.003,0.999146
2025-12-26 20:00:00,0.999005,0.999211,0.998907
2025-12-27 00:00:00,0.999201,1.001,0.997516
2025-12-27 04:00:00,0.999138,0.999289,0.997618
2025-12-27 08:00:00,0.999204,0.999296,0.99913
2025-12-27 12:00:00,0.999314,0.999416,0.999174
2025-12-27 16:00:00,0.999497,0.999522,0.999395
2025-12-27 20:00:00,0.999316,0.999506,0.999316
2025-12-28 00:00:00,0.999126,0.999335,0.999122
2025-12-28 04:00:00,0.999185,0.999256,0.998925
2025-12-28 08:00:00,0.999219,0.999353,0.999104
2025-12-28 12:00:00,0.999172,0.999332,0.999122
2025-12-28 16:00:00,0.99925,1.0,0.998981
2025-12-28 20:00:00,0.999138,0.999282,0.999103
2025-12-29 00:00:00,0.999148,0.999298,0.999085
2025-12-29 04:00:00,0.99883,0.999168,0.997138
2025-12-29 08:00:00,0.998745,0.998976,0.998719
2025-12-29 12:00:00,0.998818,1.0,0.996812
2025-12-29 16:00:00,0.998992,0.999009,0.998694
2025-12-29 20:00:00,0.99887,0.999057,0.99875
2025-12-30 00:00:00,0.998706,0.998876,0.998684
2025-12-30 04:00:00,0.998622,0.99886,0.998569
2025-12-30 08:00:00,0.998489,1.001,0.996127
2025-12-30 12:00:00,0.998638,0.99877,0.997446
2025-12-30 16:00:00,0.998912,0.998964,0.99754
2025-12-30 20:00:00,0.999098,0.999098,0.998779
2025-12-31 00:00:00,0.998802,0.999255,0.998685
2025-12-31 04:00:00,0.998677,0.998827,0.998586
2025-12-31 08:00:00,0.998555,0.998821,0.998555
2025-12-31 12:00:00,0.998555,0.998703,0.998519
2025-12-31 16:00:00,0.998659,0.999707,0.99695
2025-12-31 20:00:00,0.998369,1.0,0.99827
2026-01-01 00:00:00,0.998539,0.998564,0.998069
2026-01-01 04:00:00,0.998391,0.998521,0.997009
2026-01-01 08:00:00,0.998298,0.998479,0.996305
2026-01-01 12:00:00,0.998249,0.998411,0.998249
2026-01-01 16:00:00,0.998468,1.003,0.996666
2026-01-01 20:00:00,0.998568,0.998855,0.996291
2026-01-02 00:00:00,0.99854,0.998708,0.998488
2026-01-02 04:00:00,0.998659,0.998794,0.998506
2026-01-02 08:00:00,0.998651,0.998669,0.998585
2026-01-02 12:00:00,0.998891,0.998963,0.998519
2026-01-02 16:00:00,0.99895,0.999263,0.998769
2026-01-02 20:00:00,0.999381,0.9996,0.997383
2026-01-03 00:00:00,0.999437,0.999605,0.998548
2026-01-03 04:00:00,0.999374,1.001,0.996243
2026-01-03 08:00:00,0.999421,0.999485,0.999328
2026-01-03 12:00:00,0.999519,0.999677,0.999398
