,close,high,low
2025-12-04 20:00:00,0.03012606,0.03080875,0.02976886
2025-12-05 00:00:00,0.03002055,0.03015685,0.02989638
2025-12-05 04:00:00,0.03011807,0.03025809,0.02978402
2025-12-05 08:00:00,0.03038261,0.03038261,0.02970953
2025-12-05 12:00:00,0.02953235,0.03043661,0.02951802
2025-12-05 16:00:00,0.02914478,0.02963097,0.02887701
2025-12-05 20:00:00,0.02878491,0.02903568,0.0281099
2025-12-06 00:00:00,0.02961539,0.02976842,0.02875336
2025-12-06 04:00:00,0.0296948,0.02979218,0.02924353
2025-12-06 08:00:00,0.02940593,0.0297736,0.02940593
2025-12-06 12:00:00,0.02984095,0.02984096,0.02927102
2025-12-06 16:00:00,0.0316429,0.03207007,0.02978329
2025-12-06 20:00:00,0.03069287,0.03175413,0.03069287
2025-12-07 00:00:00,0.03158903,0.03167412,0.03062346
2025-12-07 04:00:00,0.03132456,0.03177715,0.03126886
2025-12-07 08:00:00,0.03078403,0.03130419,0.03070333
2025-12-07 12:00:00,0.0307193,0.03122915,0.03067132
2025-12-07 16:00:00,0.03036003,0.03084729,0.02969195
2025-12-07 20:00:00,0.03107719,0.03124951,0.03017919
2025-12-08 00:00:00,0.02998203,0.03126129,0.02978844
2025-12-08 04:00:00,0.03063997,0.03076889,0.02986343
2025-12-08 08:00:00,0.0307875,0.03099862,0.0306525
2025-12-08 12:00:00,0.03062078,0.03112485,0.03062078
2025-12-08 16:00:00,0.03043331,0.0308241,0.03031858
2025-12-08 20:00:00,0.03020744,0.03088947,0.02999431
2025-12-09 00:00:00,0.03073298,0.03086882,0.03018199
2025-12-09 04:00:00,0.03116509,0.03116906,0.03054958
2025-12-09 08:00:00,0.03099253,0.03116616,0.03029011
2025-12-09 12:00:00,0.0307037,0.03112259,0.03046879
2025-12-09 16:00:00,0.03139633,0.03139633,0.03058219
2025-12-09 20:00:00,0.03166521,0.0321584,0.03142696
2025-12-10 00:00:00,0.03034672,0.03183304,0.03034204
2025-12-10 04:00:00,0.03018391,0.03029315,0.02988156
2025-12-10 08:00:00,0.03006502,0.03031544,0.029991
