,close,high,low
2025-12-05 00:00:00,0.02981767,0.02981767,0.02725681
2025-12-05 04:00:00,0.02661833,0.02980459,0.02661833
2025-12-05 08:00:00,0.02956172,0.02956172,0.02634363
2025-12-05 12:00:00,0.02657185,0.02963978,0.02657185
2025-12-05 16:00:00,0.0261274,0.02767867,0.02429387
2025-12-05 20:00:00,0.02876319,0.03003414,0.02547707
2025-12-06 00:00:00,0.02812679,0.03239868,0.0281104
2025-12-06 04:00:00,0.0289587,0.0289587,0.02672208
2025-12-06 08:00:00,0.02734066,0.02895954,0.02709994
2025-12-06 12:00:00,0.03003067,0.03003067,0.02727739
2025-12-06 16:00:00,0.02995658,0.03057513,0.0278417
2025-12-06 20:00:00,0.02597977,0.03043608,0.02557734
2025-12-07 00:00:00,0.02745443,0.02914091,0.02593986
2025-12-07 04:00:00,0.0318484,0.03530661,0.02669674
2025-12-07 08:00:00,0.03206516,0.03537647,0.03165517
2025-12-07 12:00:00,0.0315107,0.0340126,0.03039044
2025-12-07 16:00:00,0.02952999,0.03000762,0.02701925
2025-12-07 20:00:00,0.02744138,0.03132198,0.02744138
2025-12-08 00:00:00,0.0269518,0.02951811,0.02675537
2025-12-08 04:00:00,0.02999877,0.03011593,0.02699779
2025-12-08 08:00:00,0.03354433,0.03469468,0.03024331
2025-12-08 12:00:00,0.03741854,0.03903575,0.03304404
2025-12-08 16:00:00,0.03464123,0.03743788,0.0327873
2025-12-08 20:00:00,0.03479616,0.03505962,0.03228021
2025-12-09 00:00:00,0.03322388,0.03436684,0.03193563
2025-12-09 04:00:00,0.02850704,0.03274007,0.02826782
2025-12-09 08:00:00,0.02813419,0.02995276,0.02791226
2025-12-09 12:00:00,0.02807232,0.02922505,0.0273365
2025-12-09 16:00:00,0.0286817,0.0286817,0.02641833
2025-12-09 20:00:00,0.03006178,0.03112208,0.02920151
2025-12-10 00:00:00,0.02792555,0.03206827,0.02792555
2025-12-10 04:00:00,0.02544819,0.02876581,0.02537765
2025-12-10 08:00:00,0.02688046,0.02688046,0.02404265
2025-12-10 12:00:00,0.02426973,0.02694017,0.02426973
2025-12-10 16:00:00,0.02377679,0.02452934,0.02289477
2025-12-10 20:00:00,0.02436744,0.02542953,0.02347232
2025-12-11 00:00:00,0.02533218,0.0254661,0.02388881
2025-12-11 04:00:00,0.02193599,0.02545238,0.02193599
2025-12-11 08:00:00,0.02240373,0.02337834,0.02177586
2025-12-11 12:00:00,0.02378963,0.02427684,0.02176811
2025-12-11 16:00:00,0.02452853,0.02606804,0.02358558
2025-12-11 20:00:00,0.02494598,0.0256154,0.02429748
2025-12-12 00:00:00,0.02677807,0.02729183,0.02466577
2025-12-12 04:00:00,0.02629656,0.02812627,0.02629656
2025-12-12 08:00:00,0.0276326,0.02794638,0.02603262
2025-12-12 12:00:00,0.02853089,0.02868527,0.02608356
2025-12-12 16:00:00,0.02533809,0.02848565,0.02527762
2025-12-12 20:00:00,0.02371729,0.02575646,0.02371729
2025-12-13 00:00:00,0.02444142,0.02499832,0.02356919
2025-12-13 04:00:00,0.02190767,0.02442689,0.02175573
2025-12-13 08:00:00,0.0224935,0.0231116,0.02062958
2025-12-13 12:00:00,0.02347742,0.02415692,0.02257463
2025-12-13 16:00:00,0.02256455,0.02423923,0.02243743
2025-12-13 20:00:00,0.02282292,0.02294136,0.02175172
2025-12-14 00:00:00,0.0254079,0.02563818,0.0223374
2025-12-14 04:00:00,0.0260125,0.02614602,0.02448323
2025-12-14 08:00:00,0.02479854,0.02612973,0.02470778
2025-12-14 12:00:00,0.02458418,0.02506833,0.02403373
2025-12-14 16:00:00,0.02362831,0.02511209,0.02361264
2025-12-14 20:00:00,0.02237312,0.02428499,0.02218588
2025-12-15 00:00:00,0.02153597,0.02300154,0.02131275
2025-12-15 04:00:00,0.02136399,0.02285679,0.02117164
2025-12-15 08:00:00,0.02224381,0.0223293,0.02056598
2025-12-15 12:00:00,0.021103,0.02266966,0.02102803
2025-12-15 16:00:00,0.02172187,0.02339848,0.02084386
