,close,high,low
2025-12-04 04:00:00,35.61,36.11,34.33
2025-12-04 08:00:00,35.11,35.5,34.69
2025-12-04 12:00:00,34.74,35.28,34.65
2025-12-04 16:00:00,34.6,34.76,34.2
2025-12-04 20:00:00,33.53,34.76,33.47
2025-12-05 00:00:00,33.56,33.66,33.19
2025-12-05 04:00:00,33.63,33.89,33.38
2025-12-05 08:00:00,33.38,33.78,33.34
2025-12-05 12:00:00,32.01,33.33,31.97
2025-12-05 16:00:00,31.56,32.03,31.21
2025-12-05 20:00:00,31.08,31.45,30.64
2025-12-06 00:00:00,30.99,31.32,30.87
2025-12-06 04:00:00,31.11,31.18,30.69
2025-12-06 08:00:00,31.09,31.35,31.07
2025-12-06 12:00:00,30.82,31.09,30.7
2025-12-06 16:00:00,30.98,31.14,30.65
2025-12-06 20:00:00,30.96,31.44,30.93
2025-12-07 00:00:00,30.91,31.22,30.83
2025-12-07 04:00:00,30.94,31.14,30.84
2025-12-07 08:00:00,30.66,31.15,30.64
2025-12-07 12:00:00,29.71,30.54,29.2
2025-12-07 16:00:00,28.78,29.98,28.26
2025-12-07 20:00:00,29.75,29.75,28.87
2025-12-08 00:00:00,29.54,29.85,28.78
2025-12-08 04:00:00,30.0,30.65,29.52
2025-12-08 08:00:00,29.99,30.46,29.89
2025-12-08 12:00:00,30.5,30.65,30.0
2025-12-08 16:00:00,29.46,30.66,29.28
2025-12-08 20:00:00,29.1,29.96,28.74
2025-12-09 00:00:00,29.45,29.86,29.09
2025-12-09 04:00:00,28.56,29.47,28.56
2025-12-09 08:00:00,28.12,28.68,27.58
2025-12-09 12:00:00,27.96,28.34,27.53
2025-12-09 16:00:00,28.55,28.58,27.83
2025-12-09 20:00:00,29.12,29.12,28.46
2025-12-10 00:00:00,27.92,29.15,27.7
2025-12-10 04:00:00,28.84,28.85,27.82
2025-12-10 08:00:00,29.39,29.45,28.74
2025-12-10 12:00:00,29.05,29.42,29.05
2025-12-10 16:00:00,28.9,29.22,28.78
2025-12-10 20:00:00,29.38,29.62,28.88
2025-12-11 00:00:00,28.93,29.85,28.93
2025-12-11 04:00:00,28.69,29.02,28.28
2025-12-11 08:00:00,27.96,28.75,27.95
2025-12-11 12:00:00,27.27,28.04,27.2
