,close,high,low
2025-12-04 04:00:00,0.9998,1.0,0.999755
2025-12-04 08:00:00,0.999893,1.0,0.999691
2025-12-04 12:00:00,0.999968,1.0,0.999664
2025-12-04 16:00:00,0.999904,1.0,0.999663
2025-12-04 20:00:00,0.999991,1.0,0.999691
2025-12-05 00:00:00,0.999941,0.999998,0.999669
2025-12-05 04:00:00,0.999852,0.999955,0.999537
2025-12-05 08:00:00,0.999846,0.999948,0.999844
2025-12-05 12:00:00,0.99995,0.999953,0.999844
2025-12-05 16:00:00,0.999955,1.0,0.999754
2025-12-05 20:00:00,0.999957,1.0,0.999854
2025-12-06 00:00:00,0.99965,0.99998,0.99965
2025-12-06 04:00:00,0.99996,0.999964,0.999653
2025-12-06 08:00:00,0.999954,0.999969,0.999666
2025-12-06 12:00:00,0.999854,0.99996,0.999652
2025-12-06 16:00:00,0.999662,0.99996,0.999655
2025-12-06 20:00:00,0.999954,1.0,0.999656
2025-12-07 00:00:00,0.999967,0.999968,0.999667
2025-12-07 04:00:00,0.999866,0.999964,0.999856
2025-12-07 08:00:00,0.99996,1.0,0.999858
2025-12-07 12:00:00,0.999757,1.0,0.998799
2025-12-07 16:00:00,0.999959,1.0,0.999757
2025-12-07 20:00:00,0.999857,0.99996,0.999654
2025-12-08 00:00:00,0.999801,0.999992,0.999706
2025-12-08 04:00:00,0.999911,1.0,0.999694
2025-12-08 08:00:00,0.999915,0.999929,0.999802
2025-12-08 12:00:00,0.999966,1.0,0.999834
2025-12-08 16:00:00,0.999956,1.0,0.999643
2025-12-08 20:00:00,0.999758,1.0,0.997086
2025-12-09 00:00:00,0.99986,0.999961,0.99965
2025-12-09 04:00:00,0.999859,0.999963,0.999657
2025-12-09 08:00:00,0.999953,0.999985,0.999647
2025-12-09 12:00:00,1.0,1.0,0.999848
2025-12-09 16:00:00,0.999855,1.0,0.999748
2025-12-09 20:00:00,0.999853,1.0,0.999753
2025-12-10 00:00:00,0.999967,1.0,0.999757
2025-12-10 04:00:00,0.999938,1.0,0.999842
2025-12-10 08:00:00,0.999754,1.0,0.99965
