,close,high,low
2025-12-26 16:00:00,0.999841,0.999942,0.999748
2025-12-26 20:00:00,0.999814,0.999953,0.999631
2025-12-27 00:00:00,0.999847,0.999958,0.999659
2025-12-27 04:00:00,0.999661,0.999905,0.999538
2025-12-27 08:00:00,0.999648,0.999667,0.999523
2025-12-27 12:00:00,0.999766,0.999819,0.999477
2025-12-27 16:00:00,0.99975,0.99987,0.999586
2025-12-27 20:00:00,0.999811,0.999938,0.999749
2025-12-28 00:00:00,0.999754,0.999958,0.999697
2025-12-28 04:00:00,0.99977,0.99985,0.999661
2025-12-28 08:00:00,0.999806,0.999947,0.999689
2025-12-28 12:00:00,0.999991,1.0,0.999755
2025-12-28 16:00:00,0.999855,1.0,0.999743
2025-12-28 20:00:00,0.999818,0.999938,0.999677
2025-12-29 00:00:00,0.999693,0.99988,0.999688
2025-12-29 04:00:00,0.999646,0.999822,0.999639
2025-12-29 08:00:00,0.999769,0.999868,0.999606
2025-12-29 12:00:00,0.999726,0.99985,0.999661
2025-12-29 16:00:00,0.99977,0.999897,0.999553
2025-12-29 20:00:00,0.999773,0.999858,0.999593
2025-12-30 00:00:00,0.999741,0.99986,0.999576
2025-12-30 04:00:00,0.999726,0.999856,0.999636
2025-12-30 08:00:00,0.999698,0.999733,0.999511
2025-12-30 12:00:00,0.999638,0.999809,0.99957
2025-12-30 16:00:00,0.999796,0.999953,0.999527
2025-12-30 20:00:00,0.999775,1.0,0.999698
2025-12-31 00:00:00,0.999786,0.999826,0.999639
2025-12-31 04:00:00,0.999465,0.999799,0.999432
2025-12-31 08:00:00,0.999735,0.999775,0.999438
2025-12-31 12:00:00,0.999583,0.999769,0.999583
2025-12-31 16:00:00,0.999694,0.99996,0.999604
2025-12-31 20:00:00,0.999799,0.999886,0.99958
2026-01-01 00:00:00,0.999705,0.999916,0.999633
2026-01-01 04:00:00,0.999672,0.999787,0.999552
2026-01-01 08:00:00,0.999707,0.999785,0.999657
