================================================================================
  PERP SCANNER v3.0  —  Bybit positioning radar
  Generated  : 2026-06-18 16:30:22
  Universe   : 720 Bybit perps  |  Scanned: 445
  Scan time  : 1.3s  |  BTC 1h: -0.26%
================================================================================

  Tiers — WATCH NOW: conviction ≥ 50, positive signals ≥ 3, no penalties
          ON RADAR : conviction ≥ 25, positive signals ≥ 2, no penalties

  Signals : OI building · funding neg · vol/OI surge · decoupling 1h
  Penalty : OI unwind · CROWDED LONG (extreme positive funding)

--------------------------------------------------------------------------------
  WATCH NOW  —  0 coin(s)
--------------------------------------------------------------------------------
  (none)

--------------------------------------------------------------------------------
  ON RADAR   —  23 coin(s)
--------------------------------------------------------------------------------
  #   Symbol      Conv Sigs    OI $M    OI Δ     Fund%  V/OI  Signals
  ------------------------------------------------------------------------------
    1 PRL         58.8    2  $   1.5  +11.64%   -0.5267%   1.6  OI building, funding neg
    2 SOXL        55.6    2  $   5.5  +16.18%   +0.0000%  11.3  OI building, vol/OI surge
    3 RE          50.0    2  $   1.0   +0.00%   -0.1041%   9.2  funding neg, vol/OI surge
    4 SNDK        49.1    2  $   5.9  +12.60%   +0.0000%   4.4  OI building, vol/OI surge
    5 PORTAL      48.9    2  $   2.4   -1.37%   -0.3130%   6.5  funding neg, vol/OI surge
    6 HIGH        48.4    2  $   0.9   -3.55%   -0.3058%   6.3  funding neg, vol/OI surge
    7 MSTR        48.3    2  $   1.2  +25.76%   +0.0000%   3.7  OI building, vol/OI surge
    8 ID          46.6    2  $   1.9   +1.84%   -0.2042%   5.5  funding neg, vol/OI surge
    9 HOOD        42.0    2  $   0.7   +4.88%   +0.0000%   9.1  OI building, vol/OI surge
   10 HOME        41.4    2  $  10.0   +1.14%   -0.0342%   5.1  funding neg, vol/OI surge
   11 CLO         41.0    2  $   2.2   +4.27%   +0.0050%   7.9  OI building, vol/OI surge
   12 AERGO       40.9    2  $   1.0   -0.46%   -0.3501%   2.9  funding neg, vol/OI surge
   13 FIDA        40.4    2  $   1.2   -0.65%   -0.1408%   2.7  funding neg, vol/OI surge
   14 BLEND       40.2    2  $   0.9   -2.61%   -0.0556%   2.6  funding neg, vol/OI surge
   15 AMAT        39.6    2  $   0.7   +9.84%   +0.0000%   2.2  OI building, vol/OI surge
   16 IP          37.1    2  $   6.2   +3.75%   -0.0190%   1.6  OI building, funding neg
   17 MIRA        36.8    2  $   0.8   +4.31%   -0.0145%   0.9  OI building, funding neg
   18 EGLD        34.9    2  $   1.8   +1.45%   -0.0244%   3.4  funding neg, vol/OI surge
   19 ETHFI       32.4    2  $   6.4   -1.28%   -0.0194%   2.9  funding neg, vol/OI surge
   20 CRCL        30.6    2  $   1.9   +4.22%   +0.0173%   2.3  OI building, vol/OI surge
   21 BTC         29.9    2  $3307.3   +4.24%   -0.0012%   2.0  OI building, vol/OI surge
   22 HEI         29.4    2  $   0.9   +0.26%   -0.0133%   2.3  funding neg, vol/OI surge
   23 ZEREBRO     28.5    2  $   7.6   +3.07%   +0.0050%   2.3  OI building, vol/OI surge

================================================================================
