name,symbol,id,market_cap,circulating_supply
World Liberty Financial,wlfi,world-liberty-financial,4776097473.0,27243802538.151154
Render,render,render-token,1259188025.0,518673261.0140741
MYX Finance,myx,myx-finance,956462373.0,190768939.69
Pudgy Penguins,pengu,pudgy-penguins,840562827.0,62860396090.0
Virtuals Protocol,virtual,virtual-protocol,742348520.0,656101378.8092347
Stacks,stx,blockstack,689591701.0,1821459976.5166
Injective,inj,injective-protocol,570837240.0,100000000.0
Aerodrome Finance,aero,aerodrome-finance,561061701.0,911202745.2528157
IOTA,iota,iota,493381880.0,4219567732.0
Maple Finance,syrup,syrup,459874205.0,1149658330.2585313
Fartcoin,fartcoin,fartcoin,459642080.0,999979668.311305
JasmyCoin,jasmy,jasmycoin,440408783.0,49444999677.59027
Onyxcoin,xcn,chain-2,421732542.0,36687598753.091324
Kaia,kaia,kaia,414434073.0,5856641747.106198
Bitcoin SV,bsv,bitcoin-cash-sv,414357619.0,19970953.125
River,river,river,403198124.0,19600000.0
pippin,pippin,pippin,324718457.0,999937652.200597
Mog Coin,mog,mog-coin,133833447.0,390564927941505.75
Fwog,fwog,fwog,16770936.0,975577757.630513
Timeless,lit,timeless,970574.0,444314048.0346915
Wif - SecondChance,wif,wif-secondchance,83230.0,799999998.0
Rainmaker Games,rain,rainmaker-games,15977.5,444474338.7919175
Strategic Hub for Innovation in Blockchain,shib,strategic-hub-for-innovation-in-blockchain,14473.15,94957400.0
The Anthropic Order,tao,the-anthropic-order,14072.37,998817534.571534
USELESS COIN,useless,useless-coin,10317.28,999687145.827459
BONK on ETH,bonk,bonk-on-eth,0.0,0.0
